waypoint1	waypoint2	distance_m	duration_s
Sector 25, Chandigarh	Sector 10, Chandigarh	4493	613
Sector 26, Chandigarh	Sector 10, Chandigarh	4468	510
Sector 27, Chandigarh	Sector 10, Chandigarh	4425	609
Sector 28, Chandigarh	Sector 10, Chandigarh	5353	734
Sector 29, Chandigarh	Sector 10, Chandigarh	6554	832
Sector 30, Chandigarh	Sector 10, Chandigarh	5803	779
Sector 10, Chandigarh	Sector 31, Chandigarh	8386	1117
Sector 32, Chandigarh	Sector 10, Chandigarh	7036	957
Sector 33, Chandigarh	Sector 10, Chandigarh	6969	989
Sector 34, Chandigarh	Sector 10, Chandigarh	5746	793
Sector 35, Chandigarh	Sector 10, Chandigarh	4820	642
Sector 36, Chandigarh	Sector 10, Chandigarh	4900	656
Sector 37, Chandigarh	Sector 10, Chandigarh	4930	681
Sector 38, Chandigarh	Sector 10, Chandigarh	6113	800
Sector 39, Chandigarh	Sector 10, Chandigarh	7702	960
Sector 40, Chandigarh	Sector 10, Chandigarh	6865	868
Sector 10, Chandigarh	Sector 41, Chandigarh	6398	840
Sector 42, Chandigarh	Sector 10, Chandigarh	6611	828
Sector 43, Chandigarh	Sector 10, Chandigarh	6210	828
Sector 44, Chandigarh	Sector 10, Chandigarh	7248	992
Sector 45, Chandigarh	Sector 10, Chandigarh	7919	1026
Sector 12, Chandigarh	Sector 11, Chandigarh	1385	226
Sector 13, Chandigarh	Sector 11, Chandigarh	8301	1006
Sector 14, Chandigarh	Sector 11, Chandigarh	2612	433
Sector 15, Chandigarh	Sector 11, Chandigarh	1861	246
Sector 16, Chandigarh	Sector 11, Chandigarh	2266	306
Sector 17, Chandigarh	Sector 11, Chandigarh	2868	355
Sector 18, Chandigarh	Sector 11, Chandigarh	3889	516
Sector 19, Chandigarh	Sector 11, Chandigarh	4399	569
Sector 20, Chandigarh	Sector 11, Chandigarh	5987	849
Sector 21, Chandigarh	Sector 11, Chandigarh	5159	709
Sector 22, Chandigarh	Sector 11, Chandigarh	4500	617
Sector 23, Chandigarh	Sector 11, Chandigarh	3387	422
Sector 24, Chandigarh	Sector 11, Chandigarh	3266	445
Sector 25, Chandigarh	Sector 11, Chandigarh	4231	558
Sector 26, Chandigarh	Sector 11, Chandigarh	5149	564
